id,SR_Pcode,State_Region,Tsp_Pcode,Township,Type,Facility,Date,Admitted_Total
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/05/20,2
Q008014018,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,(အလက) ရှမ်းကွင်း,04/14/20,0
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/18/20,0
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/15/20,0
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/06/20,2
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/13/20,0
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/07/20,2
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/14/20,0
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/17/20,0
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/10/20,0
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/12/20,0
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/16/20,0
Q008014016,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,စမ်းအိုင် ငှက်ပျောတောခြံ,04/05/20,2
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/12/20,1
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/10/20,1
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/06/20,1
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/05/20,1
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/17/20,0
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/18/20,0
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/13/20,0
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/07/20,1
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/16/20,0
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/14/20,0
Q008014035,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဖလံကုန်းဘုရားကြီး,04/15/20,0
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/05/20,11
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/14/20,2
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/17/20,2
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/13/20,2
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/16/20,2
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/12/20,3
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/10/20,9
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/18/20,2
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/15/20,2
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/06/20,11
Q008014001,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,ဗောဓိရိပ်သာကျောင်းတိုက်,04/07/20,11
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/12/20,0
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/18/20,0
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/15/20,0
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/06/20,1
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/13/20,0
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/17/20,0
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/10/20,1
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/14/20,0
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/05/20,1
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/16/20,0
Q008014034,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မကျီးကုန်း ဘုန်းကြီးကျောင်း,04/07/20,1
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/18/20,1
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/07/20,5
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/06/20,5
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/13/20,1
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/10/20,5
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/16/20,1
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/12/20,1
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/05/20,5
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/15/20,1
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/17/20,1
Q008014007,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကံကလေး,04/14/20,1
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/15/20,0
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/07/20,5
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/06/20,5
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/05/20,5
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/16/20,0
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/10/20,5
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/18/20,0
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/17/20,0
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/12/20,2
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/13/20,0
