SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,Under_5_POP,Above_60_POP,MEAN_HH_Size,BED,PHYSNB,NURSNB,HSNB
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012004,Kyauktaw,ကျောက်တော်,217867,15320,16719,5,82,5,14,6
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012005,Minbya,မင်းပြား,216234,15087,13910,5,82,7,32,7
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012006,Myebon,မြေပုံ,143886,13649,11279,4,114,5,19,8
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012007,Pauktaw,ပေါက်တော,187000,12375,10801,5,41,4,12,6
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012008,Rathedaung,ရသေ့တောင်,136716,8926,11056,5,41,4,15,6
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012009,Maungdaw,မောင်တော,528812,4026,2505,5,114,11,31,5
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012010,Buthidaung,ဘူးသီးတောင်,308144,5847,3536,5,82,7,26,7
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012011,Kyaukpyu,ကျောက်ဖြူ,167025,14019,18633,4,232,22,51,6
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012012,Munaung,မာန်အောင်,60873,3721,11080,4,82,5,35,7
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012013,Ramree,ရမ်းဗြဲ,98270,7778,13833,4,130,8,28,7
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012014,Ann,အမ်း,115909,12496,9972,4,148,12,36,6
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012015,Thandwe,သံတွဲ,116465,9500,16776,4,173,28,49,11
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012016,Toungup,တောင်ကုတ်,149332,13680,16861,4,164,10,66,5
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012017,Gwa,ဂွ,63921,4619,9402,4,82,5,55,5
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013001,Insein,အင်းစိန်,259771,19282,27228,5,900,6,6,2
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013002,Mingaladon,မင်္ဂလာဒုံ,255807,23080,25497,4,150,3,2,3
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013003,Hmawbi,မှော်ဘီ,191020,20298,19493,4,82,7,21,5
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013004,Hlegu,လှည်းကူး,233392,24000,20318,4,198,15,80,12
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013005,Taikkyi,တိုက်ကြီး,267597,24544,25317,4,114,9,15,6
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013006,Htantabin,ထန်းတပင်,131366,13678,10896,4,196,5,10,4
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013007,Shwepyithar,ရွှေပြည်သာ,273721,26853,26304,5,35,4,13,2
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013008,Hlaingtharya,လှိုင်သာယာ,414209,54729,37753,5,216,11,22,1
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,202140,12111,22057,5,500,8,3,1
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013010,Yankin,ရန်ကင်း,66949,3574,8505,5,550,8,4,2
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,154068,8064,18414,5,150,26,39,3
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013012,North Okkalapa,မြောက်ဥက္ကလာပ,282530,20483,31385,5,1000,25,8,2
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013013,Thaketa,သာကေတ,220599,12854,21431,5,100,9,22,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013014,Dawbon,ဒေါပုံ,74979,5433,6152,5,NA,2,2,2
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013015,Tamwe,တာမွေ,166782,8310,19213,4,300,2,11,1
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013016,Pazundaung,ပုဇွန်တောင်,44779,2200,6137,4,NA,5,7,3
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013017,Botahtaung,ဗိုလ်တထောင်,39907,2043,4517,4,200,1,1,3
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013018,Dagon Myothit (South),ဒဂုံမြို့သစ်တောင်ပိုင်း,320099,29095,28370,5,NA,8,16,3
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013019,Dagon Myothit (North),ဒဂုံမြို့သစ်မြောက်ပိုင်း,195222,11986,25703,5,NA,6,14,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013020,Dagon Myothit (East),ဒဂုံမြို့သစ်အရှေ့ပိုင်း,156336,12589,13948,5,NA,8,22,1
