,SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,Under_5_POP,Above_60_POP,MEAN_HH_Size,BED,PHYSNB,NURSNB,HSNB
126,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010014,Sintgaing,စဉ့်ကိုင်,132858.0,12181,13818,4,66.0,10.0,14.0,3.0
127,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010015,Myittha,မြစ်သား,193203.0,16171,17539,4,123.0,14.0,28.0,5.0
128,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010016,Tada-U,တံတားဦး,140700.0,11275,15260,4,98.0,13.0,26.0,6.0
129,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010017,Myingyan,မြင်းခြံ,281489.0,20138,31755,4,148.0,38.0,59.0,9.0
130,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010018,Taungtha,တောင်သာ,245196.0,17454,25757,4,114.0,13.0,25.0,8.0
131,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010019,Natogyi,နွားထိုးကြီး,202284.0,13918,21622,4,98.0,9.0,20.0,8.0
132,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010020,Kyaukpadaung,ကျောက်ပန်းတောင်း,291561.0,21729,32138,4,150.0,9.0,27.0,9.0
133,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010021,Ngazun,ငါန်းဇွန်,140501.0,9718,16003,4,82.0,8.0,18.0,7.0
134,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010022,Nyaung-U,ညောင်ဦး,247958.0,18047,27676,4,264.0,54.0,125.0,13.0
135,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010023,Yamethin,ရမည်းသင်း,253940.0,19832,24714,4,0.0,37.0,66.0,7.0
136,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010024,Pyawbwe,ပျော်ဘွယ်,272838.0,21751,27559,4,162.0,13.0,26.0,7.0
137,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010028,Meiktila,မိတ္ထီလာ,299943.0,25219,34059,4,232.0,94.0,134.0,14.0
