,SR_Pcode,State_Region,Tsp_Pcode,Township,Facility,Date,Male,Female,Total
139,MMR010,Mandalay,MMR010031,Wundwin,သဖန်းပင် (အ.မ.က),31/3/2020,null,null,1
140,MMR010,Mandalay,MMR010031,Wundwin,သဲတောလေး (မူလွန်),31/3/2020,null,null,2
141,MMR010,Mandalay,MMR010031,Wundwin,အင်းယင်း (အ.မ.က),31/3/2020,null,null,2
142,MMR010,Mandalay,MMR010031,Wundwin,ဒါးလှ (အ.မ.က),31/3/2020,null,null,2
143,MMR010,Mandalay,MMR010031,Wundwin,မြစ်သူငယ် (အ.မ.က),31/3/2020,null,null,2
144,MMR010,Mandalay,MMR010031,Wundwin,ပေါက်ကံ (အ.မ.က),31/3/2020,null,null,1
145,MMR010,Mandalay,MMR010031,Wundwin,သစ်ပုလွေကန် (အ.ထ.က)(ခွဲ),31/3/2020,null,null,3
146,MMR010,Mandalay,MMR010031,Wundwin,ရှောက်တော (မူလွန်),31/3/2020,null,null,19
147,MMR010,Mandalay,MMR010031,Wundwin,ပုလဝါ (အ.မ.က),31/3/2020,null,null,10
148,MMR010,Mandalay,MMR010031,Wundwin,ဆင်သွေကွေ့ (အ.မ.က),31/3/2020,null,null,11
149,MMR010,Mandalay,MMR010031,Wundwin,တဲစု (အ.ထ.က)(ခွဲ),31/3/2020,null,null,96
150,MMR010,Mandalay,MMR010031,Wundwin,ပင်းတလဲ (အ.ထ.က),31/3/2020,null,null,8
151,MMR010,Mandalay,MMR010031,Wundwin,လေးမျက်နှာ (အ.မ.က),31/3/2020,null,null,87
152,MMR010,Mandalay,MMR010031,Wundwin,လေးမျက်နှာ (ဘ.က),31/3/2020,null,null,88
153,MMR010,Mandalay,MMR010031,Wundwin,ညောင်ကားယား (အ.မ.က),31/3/2020,null,null,7
154,MMR010,Mandalay,MMR010031,Wundwin,ဖိုကုန်း (အ.မ.က),31/3/2020,null,null,2
155,MMR010,Mandalay,MMR010031,Wundwin,ရုံးပင်ကုန်း (အ.မ.က),31/3/2020,null,null,5
156,MMR010,Mandalay,MMR010031,Wundwin,မင်းကန် (အ.မ.က),31/3/2020,null,null,1
157,MMR010,Mandalay,MMR010031,Wundwin,ပျားစွဲ (န) (အ.မ.က),31/3/2020,null,null,6
158,MMR010,Mandalay,MMR010031,Wundwin,သုံးဒေါင့်အိုင် (ဘုရားဓမ္မာရုံ),31/3/2020,null,null,7
159,MMR010,Mandalay,MMR010031,Wundwin,ကျင်းရွာ (အ.လ.က)(ခွဲ),31/3/2020,null,null,6
160,MMR010,Mandalay,MMR010031,Wundwin,အောင်ချမ်းသာ (အ.ထ.က),31/3/2020,null,null,9
161,MMR010,Mandalay,MMR010031,Wundwin,ဇချမ်းကုန်း(တ) (အ.ထ.က)(ခွဲ),31/3/2020,null,null,1
162,MMR010,Mandalay,MMR010031,Wundwin,ရွာဝေ (အ.ထ.က)(ခွဲ),31/3/2020,null,null,5
163,MMR010,Mandalay,MMR010031,Wundwin,မြောက်ဆည် (အ.လ.က),31/3/2020,null,null,2
164,MMR010,Mandalay,MMR010031,Wundwin,ရာသင်္ချာ (အ.မ.က),31/3/2020,null,null,7
165,MMR010,Mandalay,MMR010031,Wundwin,တောင်ဆည် (အ.မ.က),31/3/2020,null,null,4
166,MMR010,Mandalay,MMR010031,Wundwin,ကုန်းကံ (အ.လ.က),31/3/2020,null,null,4
167,MMR010,Mandalay,MMR010031,Wundwin,သဖန်း (အ.ထ.က)(ခွဲ၀,31/3/2020,null,null,3
168,MMR010,Mandalay,MMR010031,Wundwin,ဖလန်ကန် (အ.မ.က),31/3/2020,null,null,4
169,MMR010,Mandalay,MMR010031,Wundwin,ထန်းပင်ကုန်း (ငှက်ပျောတောတဲ),31/3/2020,null,null,1
170,MMR010,Mandalay,MMR010031,Wundwin,အင်္ကန်းကြီး (အ.လ.က)(ခွဲ),31/3/2020,null,null,2
171,MMR010,Mandalay,MMR010031,Wundwin,ဂျမ်းလုံ (အ.မ.က),31/3/2020,null,null,1
172,MMR010,Mandalay,MMR010031,Wundwin,ကြပ်ကန် (အ.လ.က),31/3/2020,null,null,1
173,MMR010,Mandalay,MMR010031,Wundwin,(၂၉) စိုက်ကွင်း (အ.လ.က),31/3/2020,null,null,3
174,MMR010,Mandalay,MMR010031,Wundwin,ဖလန်ကျင်း (အ.မ.က),31/3/2020,null,null,2
175,MMR010,Mandalay,MMR010031,Wundwin,ထီးလှိုင် (ဆည်ရွာ) (အ.မ.က),31/3/2020,null,null,1
176,MMR006,Tanintharyi,MMR006001,Dawei,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,239
177,MMR006,Tanintharyi,MMR006004,Yebyu,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,20
178,MMR006,Tanintharyi,MMR006002,Launglon,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,892
179,MMR006,Tanintharyi,MMR006003,Thayetchaung,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,299
180,MMR006,Tanintharyi,MMR006005,Myeik,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,389
181,MMR006,Tanintharyi,MMR006006,Kyunsu,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,86
182,MMR006,Tanintharyi,MMR006007,Palaw,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,328
183,MMR006,Tanintharyi,MMR006008,Tanintharyi,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,223
184,MMR006,Tanintharyi,MMR006009,Kawthoung,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,148
185,MMR006,Tanintharyi,MMR006010,Bokpyin,နေအိမ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,116
186,MMR006,Tanintharyi,MMR006001,Dawei,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,3
187,MMR006,Tanintharyi,MMR006004,Yebyu,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,1
188,MMR006,Tanintharyi,MMR006002,Launglon,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
189,MMR006,Tanintharyi,MMR006003,Thayetchaung,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
190,MMR006,Tanintharyi,MMR006005,Myeik,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
191,MMR006,Tanintharyi,MMR006006,Kyunsu,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
192,MMR006,Tanintharyi,MMR006007,Palaw,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
193,MMR006,Tanintharyi,MMR006008,Tanintharyi,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
194,MMR006,Tanintharyi,MMR006009,Kawthoung,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
195,MMR006,Tanintharyi,MMR006010,Bokpyin,ဆေးရုံတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
196,MMR006,Tanintharyi,MMR006001,Dawei,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
197,MMR006,Tanintharyi,MMR006004,Yebyu,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
198,MMR006,Tanintharyi,MMR006002,Launglon,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
199,MMR006,Tanintharyi,MMR006003,Thayetchaung,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
200,MMR006,Tanintharyi,MMR006005,Myeik,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
201,MMR006,Tanintharyi,MMR006006,Kyunsu,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
202,MMR006,Tanintharyi,MMR006007,Palaw,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
203,MMR006,Tanintharyi,MMR006008,Tanintharyi,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
204,MMR006,Tanintharyi,MMR006009,Kawthoung,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
205,MMR006,Tanintharyi,MMR006010,Bokpyin,ဟိုတယ်တွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
206,MMR006,Tanintharyi,MMR006001,Dawei,ဧည့်ရိပ်သာ/ခန်းမတွင် ထားရှိစောင့်ကြည့်ခံရသူ,2/4/2020,null,null,0
